Date,Day,Month,Quater,Year,Open,High,Low,Close,Volume,,
11/28/2023,Tuesday,November,Q4,2023,478.11,480.5,475.95,479,2890164,,
11/27/2023,Monday,November,Q4,2023,479.03,482,475.35,479.17,3625924,,
11/24/2023,Friday,November,Q4,2023,477.11,480.4,475.2,479.56,1404732,,
11/22/2023,Wednesday,November,Q4,2023,476.8,482.7,476.56,478,2843891,,
11/21/2023,Tuesday,November,Q4,2023,472.63,477.02,471.21,474.95,2997723,,
11/20/2023,Monday,November,Q4,2023,465.4,476.76,465.4,474.47,3621095,,
11/17/2023,Friday,November,Q4,2023,466.95,467.65,462.76,465.91,2800214,,
11/16/2023,Thursday,November,Q4,2023,463,467.28,459.65,466.95,3655974,,
11/15/2023,Wednesday,November,Q4,2023,452.81,462.75,452.45,461.94,5035283,,
11/14/2023,Tuesday,November,Q4,2023,448.78,454.08,445.64,448.65,4060884,,
11/13/2023,Monday,November,Q4,2023,447.25,448.43,442.6,444.62,2896143,,
11/10/2023,Friday,November,Q4,2023,437.48,447.48,435.51,447.24,4443284,,
11/9/2023,Thursday,November,Q4,2023,438.03,440.38,434.35,435.15,2735507,,
11/8/2023,Wednesday,November,Q4,2023,435,438.07,433.68,436.65,2356845,,
11/7/2023,Tuesday,November,Q4,2023,436.18,437.64,431,434.61,3291064,,
11/6/2023,Monday,November,Q4,2023,434.38,435.03,429.61,434.74,3003235,,
11/3/2023,Friday,November,Q4,2023,428.76,434.82,425.53,432.36,3667051,,
11/2/2023,Thursday,November,Q4,2023,421.17,426.69,417.1,424.71,4475984,,
11/1/2023,Wednesday,November,Q4,2023,414.77,420.6,414.18,420.19,4806108,,
10/31/2023,Tuesday,October,Q3,2023,409.24,412.52,404.63,411.69,3877623,,
10/30/2023,Monday,October,Q3,2023,402.35,412.82,399.41,410.08,5317147,,
10/27/2023,Friday,October,Q3,2023,406.42,410.21,395.62,397.87,4997612,,
10/26/2023,Thursday,October,Q3,2023,411.42,417.31,401.54,403.54,6849702,,
10/25/2023,Wednesday,October,Q3,2023,416.02,418.84,410.11,411.25,6299587,,
10/24/2023,Tuesday,October,Q3,2023,409.68,416.69,408.39,413.73,6459247,,
10/23/2023,Monday,October,Q3,2023,403.32,407.54,398.52,406.84,7390032,,
10/20/2023,Friday,October,Q3,2023,405.63,410.64,398.01,400.96,12782920,,
10/19/2023,Thursday,October,Q3,2023,404.74,408.95,392.26,401.77,28074420,,
10/18/2023,Wednesday,October,Q3,2023,351,354.79,344.73,346.19,11429640,,
10/17/2023,Tuesday,October,Q3,2023,361.1,362.7,353.89,355.72,5908412,,
10/16/2023,Monday,October,Q3,2023,356.21,363.08,354.77,360.82,5128947,,
10/13/2023,Friday,October,Q3,2023,355.64,358.93,352.05,355.68,6316320,,
10/12/2023,Thursday,October,Q3,2023,366.48,368.83,359.05,361.2,7376086,,
10/11/2023,Wednesday,October,Q3,2023,372.78,377.81,365.34,365.93,9151395,,
10/10/2023,Tuesday,October,Q3,2023,385.58,388.7,372.25,373.32,7288939,,
10/9/2023,Monday,October,Q3,2023,378.05,387.17,377.76,385.95,3299802,,
10/6/2023,Friday,October,Q3,2023,368.43,382.52,367.77,381.51,4778118,,
10/5/2023,Thursday,October,Q3,2023,378.01,378.6,367.24,372.59,5034773,,
10/4/2023,Wednesday,October,Q3,2023,376.5,380.22,373.58,376.9,4303658,,
10/3/2023,Tuesday,October,Q3,2023,377.11,394.9,372.85,376.75,8878134,,
10/2/2023,Monday,October,Q3,2023,377.48,384.81,376.8,380.33,3102101,,
9/29/2023,Friday,September,Q3,2023,380,382.58,375.35,377.6,4205298,,
9/28/2023,Thursday,September,Q3,2023,375.6,378.96,371.1,376.36,4369906,,
9/27/2023,Wednesday,September,Q3,2023,382.4,384.22,376.25,377.59,3843521,,
9/26/2023,Tuesday,September,Q3,2023,382.88,384.56,377.36,379.25,4089392,,
9/25/2023,Monday,September,Q3,2023,382.9,386.62,380.81,384.8,3757278,,
9/22/2023,Friday,September,Q3,2023,385,386.88,378.36,379.81,3699796,,
9/21/2023,Thursday,September,Q3,2023,386.5,395.9,383.42,384.15,5556388,,
9/20/2023,Wednesday,September,Q3,2023,397.05,397.99,386.12,386.3,3866619,,
9/19/2023,Tuesday,September,Q3,2023,392.84,398.23,390.25,396.2,4080054,,
9/18/2023,Monday,September,Q3,2023,395.5,399.47,392.6,394.4,4704706,,
9/15/2023,Friday,September,Q3,2023,401,404.7,395.03,396.94,9116745,,
9/14/2023,Thursday,September,Q3,2023,410.4,411.39,400,400.49,10709040,,
9/13/2023,Wednesday,September,Q3,2023,435.5,438.4,410.69,412.24,11843030,,
9/12/2023,Tuesday,September,Q3,2023,442.85,445.44,434.12,434.69,3124024,,
9/11/2023,Monday,September,Q3,2023,443.07,449.89,442.75,445.36,2913767,,
9/8/2023,Friday,September,Q3,2023,443.56,446.81,438.85,442.8,2704353,,
9/7/2023,Thursday,September,Q3,2023,441.15,444.6,436.7,443.14,2922676,,
9/6/2023,Wednesday,September,Q3,2023,448.61,451.39,440.49,445.76,3862274,,
9/5/2023,Tuesday,September,Q3,2023,438.39,453.45,438,448.68,6155865,,
9/1/2023,Friday,September,Q3,2023,437.73,445.5,435.93,439.88,4793379,,
8/31/2023,Thursday,August,Q3,2023,431.23,437.15,431.23,433.68,3802954,,
8/30/2023,Wednesday,August,Q3,2023,430.85,438.16,428.35,434.67,3625380,,
8/29/2023,Tuesday,August,Q3,2023,416,432.17,414.5,429.99,4486703,,
8/28/2023,Monday,August,Q3,2023,418.04,419.83,413.27,418.06,2928613,,
8/25/2023,Friday,August,Q3,2023,412,419.25,407.56,416.03,5390933,,
8/24/2023,Thursday,August,Q3,2023,425.41,427.59,406.17,406.93,5687799,,
8/23/2023,Wednesday,August,Q3,2023,418.4,437.02,417.71,427.55,8174732,,
8/22/2023,Tuesday,August,Q3,2023,409,415.74,407.4,413.17,3603273,,
8/21/2023,Monday,August,Q3,2023,402.23,409.61,399.5,408.29,3861579,,
8/18/2023,Friday,August,Q3,2023,399.33,406.52,398.15,404.53,4312196,,
8/17/2023,Thursday,August,Q3,2023,415,415.24,401.58,403,6031469,,
8/16/2023,Wednesday,August,Q3,2023,423.73,424.51,415.25,415.45,3967021,,
8/15/2023,Tuesday,August,Q3,2023,424.41,429.12,421.04,423.7,3367998,,
8/14/2023,Monday,August,Q3,2023,421.99,428.85,418.78,427.78,3965963,,
8/11/2023,Friday,August,Q3,2023,428.98,430.63,421.33,421.66,3927914,,
8/10/2023,Thursday,August,Q3,2023,431.12,438.12,428.69,429.98,5467607,,
8/9/2023,Wednesday,August,Q3,2023,439.74,440.62,427.59,428.9,3846639,,
8/8/2023,Tuesday,August,Q3,2023,440.36,443.57,435.1,438.3,3767195,,
8/7/2023,Monday,August,Q3,2023,436.46,441.11,428.91,440.76,4781303,,
8/4/2023,Friday,August,Q3,2023,433.06,436.5,426.27,431.6,5441811,,
8/3/2023,Thursday,August,Q3,2023,427.8,441.93,427.19,431,6259309,,
8/2/2023,Wednesday,August,Q3,2023,435.23,435.56,426.56,429.7,4921781,,
8/1/2023,Tuesday,August,Q3,2023,437.37,445.25,431.4,438.62,5725544,,
7/31/2023,Monday,July,Q2,2023,426.51,439.13,426.3,438.97,6587619,,
7/28/2023,Friday,July,Q2,2023,415.56,427.47,413.76,425.78,6428073,,
7/27/2023,Thursday,July,Q2,2023,426.9,427.52,411.88,413.17,6594466,,
7/26/2023,Wednesday,July,Q2,2023,424.2,425.26,415.59,422.67,6009242,,
7/25/2023,Tuesday,July,Q2,2023,427.18,430.88,426.13,427.7,4859843,,
7/24/2023,Monday,July,Q2,2023,425,428.64,419.19,428.37,8282434,,
7/21/2023,Friday,July,Q2,2023,437.37,438.24,423.19,427.5,17340029,,
7/20/2023,Thursday,July,Q2,2023,447,448.5,432,437.42,23989711,,
7/19/2023,Wednesday,July,Q2,2023,476.86,485,470,477.59,20996480,,
7/18/2023,Tuesday,July,Q2,2023,451,478.15,448.78,474.8,13196880,,
7/17/2023,Monday,July,Q2,2023,445.57,456.68,445.11,450.05,6901141,,
7/14/2023,Friday,July,Q2,2023,452.79,456.48,439.7,441.91,7195860,,
7/13/2023,Thursday,July,Q2,2023,447,451.67,441.18,450.38,6157475,,
7/12/2023,Wednesday,July,Q2,2023,444.55,445.41,437.75,444.05,5731657,,
7/11/2023,Tuesday,July,Q2,2023,438.65,440.8,431.04,440.21,4574559,,
7/10/2023,Monday,July,Q2,2023,438.52,444.41,436.82,441.71,4251737,,
7/7/2023,Friday,July,Q2,2023,438.6,442.33,435.84,438.1,4165144,,
7/6/2023,Thursday,July,Q2,2023,440,442.8,430.72,438.84,4944892,,
7/5/2023,Wednesday,July,Q2,2023,444.91,450.97,439.62,445.9,6875414,,
7/3/2023,Monday,July,Q2,2023,439.76,441.55,431.62,441.44,3728461,,

